field_name,source_type,source_reference,source_locator,original_value,original_unit,transformation_rule,final_value,final_unit,provenance_class,reconstruction_status,notes
evidence_basis,CHN and EM-DAT evidence rows,CHN and EM-DAT evidence rows,source membership,row-specific,source-specific,"CHN, EMDAT, or BOTH",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
evidence_ids,CHN and EM-DAT evidence rows,CHN and EM-DAT evidence rows,source row identities,row-specific,source-specific,Stable sorted evidence-ID join,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
no_affected,EM-DAT,EM-DAT,No. Affected,row-specific,source-specific,Copied when observed; missing remains null,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
no_affected_status,EM-DAT,EM-DAT,No. Affected missingness,row-specific,source-specific,"OBSERVED, MISSING, or CONFLICT",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
total_affected,EM-DAT,EM-DAT,Total Affected,row-specific,source-specific,Copied when observed; missing remains null,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
total_affected_status,EM-DAT,EM-DAT,Total Affected missingness,row-specific,source-specific,"OBSERVED, MISSING, or CONFLICT",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
event_year_population,UN WPP 2024,UN WPP 2024,TPopulation1July in thousands,row-specific,source-specific,Multiply by 1000,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
population_unit,UN WPP 2024,UN WPP 2024,WPP unit metadata,row-specific,source-specific,Converted output unit persons,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
no_affected_pct_population,EM-DAT + UN WPP 2024,EM-DAT + UN WPP 2024,No. Affected/population,row-specific,source-specific,Only when numerator and denominator exist,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
total_affected_pct_population,EM-DAT + UN WPP 2024,EM-DAT + UN WPP 2024,Total Affected/population,row-specific,source-specific,Only when numerator and denominator exist,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
native_demand_basis,R6-I scope decision,R6-I scope decision,historical source layer boundary,row-specific,source-specific,Fixed marker NOT_GENERATED_R6I_SCOPE,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
native_demand_value,none,none,not in historical source layer,row-specific,source-specific,Not generated in R6-I,row-specific or null,schema-specific,UNRESOLVED,UNRESOLVED,Row-level source locators are retained in canonical and evidence tables.
native_demand_unit,none,none,not in historical source layer,row-specific,source-specific,Not generated in R6-I,row-specific or null,schema-specific,UNRESOLVED,UNRESOLVED,Row-level source locators are retained in canonical and evidence tables.
demand_cap,none,none,not in historical source layer,row-specific,source-specific,Not generated in R6-I,row-specific or null,schema-specific,UNRESOLVED,UNRESOLVED,Row-level source locators are retained in canonical and evidence tables.
source_dataset,source acquisition ledger,source acquisition ledger,source identity,row-specific,source-specific,Copied or composed without deleting source identity,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
source_reference,source acquisition ledger,source acquisition ledger,frozen source identity,row-specific,source-specific,Stable identity or sorted identity join,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
source_locator,normalized evidence tables,normalized evidence tables,row/header locator,row-specific,source-specific,Stable row locators retained,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
provenance_class,R6-I provenance policy,R6-I provenance policy,field/row classification,row-specific,source-specific,"DIRECT, RECONSTRUCTED, DERIVED, or UNRESOLVED",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
reconstruction_status,R6-I inclusion policy,R6-I inclusion policy,rule outcome,row-specific,source-specific,Source-supported status marker,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
transformation_rule,R6-I inclusion policy,R6-I inclusion policy,implemented deterministic rule,row-specific,source-specific,Human-readable rule copied into each row,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
notes,R6-I audit policy,R6-I audit policy,scope and identity disclaimer,row-specific,source-specific,Human-readable limitation copied into each row,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
