scenario_id,hurricane_name,year,category,evacuees,sheltered,geographic_scope,evidence_status,scenario_type,source_group,E_evidence_identity,S_evidence_identity,source_reference,notes
h11,Fran,1996,3,500000,50000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees (estimated),Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Table 5-3 marks evacuees as estimated; preserve Category/E/S and reconstruct demand.
h12,Dennis,2005,3,1800000,18000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees (estimated tourist-area relation),Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Table 5-3 marks evacuees as estimated; preserve Category/E/S and reconstruct demand.
h13,Emily,1993,3,281750,2282,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h14,Georges,1998,4,223900,42204,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h15,Hugo,1989,4,440000,112027,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h16,Ike,2008,2,1200000,40000,Texas statewide,READY,single_hurricane,Added9,observed/official estimate,peak shelter population,Authoritative workbook; U.S. Senate hearing https://www.govinfo.gov/content/pkg/CHRG-110shrg45578/pdf/CHRG-110shrg45578.pdf,"Same-event government evidence gives 1.2 million evacuated and peak 40,000 in shelters."
h17,Rita,2005,3,2000000,150000,event/regional estimate,FROZEN-BOUND,single_hurricane,Added9,"up to/approximately 2,000,000","lower bound: at least 150,000",Authoritative workbook; NWS Houston/Galveston https://www.weather.gov/hgx/projects_rita05,Bounded evidence. Values must not be described as exact observations; derived Food and Medical retain lower-bound character.
h18,Wilma,2005,3,300000,37000,Florida,READY,single_hurricane,Added9,"government estimate: as many as 300,000","government shelter estimate: approximately 37,000",Authoritative workbook; federal case study https://www.govinfo.gov/content/pkg/GOVPUB-Y3_N88-PURL-LPS108561/pdf/GOVPUB-Y3_N88-PURL-LPS108561.pdf,Same-event government case study.
h19,Irma,2017,4,7000000,191764,Florida statewide,READY,single_hurricane,Added9,official approximate evacuated,official statewide peak shelter population,Authoritative workbook; CDC https://www.cdc.gov/mmwr/volumes/67/wr/mm6730a5.htm; Florida official material https://static-s3.lobbytools.com/bills/2018/event_docs/1/CP_House_SCHRP18_2018116_9.pdf,CDC plus Florida/FEMA official evidence.
h20,Charley,2004,4,2700000,102094,Florida statewide,FROZEN,single_hurricane,Added9,official statewide evacuated,official statewide sheltered,Authoritative workbook; Florida House staff analysis 2004-12-14 https://flsenate.gov/Session/Bill/2004A/17A/Analyses/2004a0017HFC_h0017Ac.FC.pdf,Frozen same-source paired E/S; do not mix with southwest/west-central or FEMA scopes.
h21,Frances,2004,2,1800000,186620,Florida statewide,FROZEN,single_hurricane,Added9,official statewide evacuated,official statewide sheltered,Authoritative workbook; Florida House staff analysis 2004-12-14 https://flsenate.gov/Session/Bill/2004A/17A/Analyses/2004a0017HFC_h0017Ac.FC.pdf,Frozen same-source paired E/S; do not substitute broader FEMA event totals.
h22,Ivan,2004,3,544900,33472,Florida statewide,FROZEN,single_hurricane,Added9,official statewide evacuated,official statewide sheltered,Authoritative workbook; Florida House staff analysis 2004-12-14 https://flsenate.gov/Session/Bill/2004A/17A/Analyses/2004a0017HFC_h0017Ac.FC.pdf,"Frozen same-source paired E/S; FEMA 2.0 million/52,000 is multi-state and excluded."
h23,Jeanne,2004,3,4400000,46252,Florida statewide,FROZEN,single_hurricane,Added9,official statewide evacuated,official statewide sheltered,Authoritative workbook; Florida House staff analysis 2004-12-14 https://flsenate.gov/Session/Bill/2004A/17A/Analyses/2004a0017HFC_h0017Ac.FC.pdf,Frozen same-source paired E/S; broader FEMA shelter total is excluded.
h24,Elena,1985,3,300000,150000,Pinellas County,FROZEN-BOUND,single_hurricane,Added9,"official lower bound: more than 300,000","derived from official 'half' statement: more than 150,000",Authoritative workbook; U.S. Congressional Record https://www.govinfo.gov/content/pkg/GPO-CRECB-1985-pt17/pdf/GPO-CRECB-1985-pt17-2.pdf,"Same-scope conservative lower-bound representation, not exact population counts."
