event_id,source_storm_id,storm_name,season_year,storm_start_date,storm_end_date,event_date,two_week_period,storm_lifetime_category,storm_lifetime_severity,historical_category,severity_class,country_impact_start_date,country_impact_end_date,country_impact_date,country_impact_date_status,country_impact_date_basis,country_impact_category,country_impact_category_status,country_impact_category_basis,country_impact_severity,affected_country,affected_country_code,evidence_basis,evidence_ids,no_affected,no_affected_status,total_affected,total_affected_status,event_year_population,population_unit,no_affected_pct_population,total_affected_pct_population,native_demand_basis,native_demand_value,native_demand_unit,demand_cap,source_dataset,source_reference,source_locator,provenance_class,reconstruction_status,transformation_rule,notes
AL052019,AL052019,DORIAN,2019,2019-08-24,2019-09-09,2019-08-24,,H5,Very Strong,H5,Very Strong,2019-08-27,2019-08-27,2019-08-27,RESOLVED,CHN_EXPLICIT_DATE,H1,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Saint Vincent and the Grenadines,VCT,CHN,CHN-TVSV-20190827-058,,MISSING,,MISSING,104167,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TVSV_ALL_ISL,TVSV_all_isl.htm:storm_row:58,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL052019,AL052019,DORIAN,2019,2019-08-24,2019-09-09,2019-08-24,,H5,Very Strong,H5,Very Strong,2019-08-28,2019-08-28,2019-08-28,RESOLVED,CHN_EXPLICIT_DATE,H1,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,British Virgin Islands,VGB,CHN,CHN-TUAN-20190828-066|CHN-TUPJ-20190828-066|CHN-TUVG-20190828-064,,MISSING,,MISSING,36394,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUAN_ALL_ISL|CHN_CURRENT_TUPJ_ALL_ISL|CHN_CURRENT_TUVG_ALL_ISL,TUAN_all_isl.htm:storm_row:66|TUPJ_all_isl.htm:storm_row:66|TUVG_all_isl.htm:storm_row:64,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL092019,AL092019,HUMBERTO,2019,2019-09-12,2019-09-20,2019-09-12,,H3,Strong,H3,Strong,2019-09-15,2019-09-15,2019-09-15,RESOLVED,CHN_EXPLICIT_DATE,H1,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Bahamas,BHS,CHN,CHN-MYAB-20190915-086,,MISSING,,MISSING,394675,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYAB_ALL_ISL,MYAB_all_isl.htm:storm_row:86,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL092019,AL092019,HUMBERTO,2019,2019-09-12,2019-09-20,2019-09-12,,H3,Strong,H3,Strong,2019-09-19,2019-09-19,2019-09-19,RESOLVED,CHN_EXPLICIT_DATE,H3,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Strong,Bermuda,BMU,CHN,CHN-TXKF-20190919-069,,MISSING,,MISSING,64107,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TXKF_ALL_ISL,TXKF_all_isl.htm:storm_row:69,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL122019,AL122019,KAREN,2019,2019-09-22,2019-09-27,2019-09-22,,TS_OR_LOWER,Mild,TS_OR_LOWER,Mild,2019-09-22,2019-09-22,2019-09-22,RESOLVED,CHN_EXPLICIT_DATE,TS_OR_LOWER,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Grenada,GRD,CHN,CHN-TGPY-20190922-036,,MISSING,,MISSING,115982,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TGPY_ALL_ISL,TGPY_all_isl.htm:storm_row:36,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL122019,AL122019,KAREN,2019,2019-09-22,2019-09-27,2019-09-22,,TS_OR_LOWER,Mild,TS_OR_LOWER,Mild,2019-09-22,2019-09-22,2019-09-22,RESOLVED,CHN_EXPLICIT_DATE,TS_OR_LOWER,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Trinidad and Tobago,TTO,CHN,CHN-TTPT-20190922-022,,MISSING,,MISSING,1484894,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TTPT_ALL_ISL,TTPT_all_isl.htm:storm_row:22,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL122019,AL122019,KAREN,2019,2019-09-22,2019-09-27,2019-09-22,,TS_OR_LOWER,Mild,TS_OR_LOWER,Mild,2019-09-22,2019-09-22,2019-09-22,RESOLVED,CHN_EXPLICIT_DATE,TS_OR_LOWER,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Saint Vincent and the Grenadines,VCT,CHN,CHN-TVSV-20190922-059,,MISSING,,MISSING,104167,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TVSV_ALL_ISL,TVSV_all_isl.htm:storm_row:59,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL122019,AL122019,KAREN,2019,2019-09-22,2019-09-27,2019-09-22,,TS_OR_LOWER,Mild,TS_OR_LOWER,Mild,2019-09-24,2019-09-24,2019-09-24,RESOLVED,CHN_EXPLICIT_DATE,TS_OR_LOWER,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,British Virgin Islands,VGB,CHN,CHN-TUAN-20190924-067|CHN-TUPJ-20190924-067|CHN-TUVG-20190924-065,,MISSING,,MISSING,36394,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUAN_ALL_ISL|CHN_CURRENT_TUPJ_ALL_ISL|CHN_CURRENT_TUVG_ALL_ISL,TUAN_all_isl.htm:storm_row:67|TUPJ_all_isl.htm:storm_row:67|TUVG_all_isl.htm:storm_row:65,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL132020,AL132020,LAURA,2020,2020-08-20,2020-08-29,2020-08-20,,H4,Very Strong,H4,Very Strong,2020-08-23,2020-08-23,2020-08-23,RESOLVED,EMDAT_SINGLE_DAY,TS_OR_LOWER,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Haiti,HTI,EMDAT,EMDAT-2020-0376-HTI,44175,OBSERVED,44175,OBSERVED,11243848,persons,0.392882,0.392882,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:393,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL292020,AL292020,ETA,2020,2020-10-31,2020-11-14,2020-10-31,,H4,Very Strong,H4,Very Strong,2020-11-04,2020-11-04,2020-11-04,RESOLVED,EMDAT_SINGLE_DAY,H2,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Belize,BLZ,EMDAT,EMDAT-2020-0474-BLZ,60000,OBSERVED,60000,OBSERVED,390812,persons,15.352650,15.352650,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:402,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL052021,AL052021,ELSA,2021,2021-06-30,2021-07-10,2021-06-30,,H1,Mild,H1,Mild,2021-07-03,2021-07-03,2021-07-03,RESOLVED,EMDAT_SINGLE_DAY,H1,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Barbados,BRB,EMDAT,EMDAT-2021-0373-BRB,3114,OBSERVED,3300,OBSERVED,282146,persons,1.103684,1.169607,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:39,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL052021,AL052021,ELSA,2021,2021-06-30,2021-07-10,2021-06-30,,H1,Mild,H1,Mild,2021-07-03,2021-07-03,2021-07-03,RESOLVED,EMDAT_SINGLE_DAY,H1,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Haiti,HTI,EMDAT,EMDAT-2021-0373-HTI,,MISSING,3,OBSERVED,11374586,persons,,0.000026,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:41,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL052021,AL052021,ELSA,2021,2021-06-30,2021-07-10,2021-06-30,,H1,Mild,H1,Mild,2021-07-03,2021-07-03,2021-07-03,RESOLVED,EMDAT_SINGLE_DAY,H1,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Saint Lucia,LCA,EMDAT,EMDAT-2021-0373-LCA,,MISSING,,MISSING,178522,persons,,,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:366,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL052021,AL052021,ELSA,2021,2021-06-30,2021-07-10,2021-06-30,,H1,Mild,H1,Mild,2021-07-02,2021-07-03,,INTERVAL_ONLY,EMDAT_DATE_WINDOW,H1,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Saint Vincent and the Grenadines,VCT,EMDAT,EMDAT-2021-0373-VCT,129,OBSERVED,129,OBSERVED,102841,persons,0.125436,0.125436,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:43,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL062021,AL062021,FRED,2021,2021-08-09,2021-08-20,2021-08-09,,TS_OR_LOWER,Mild,TS_OR_LOWER,Mild,2021-08-12,2021-08-13,,INTERVAL_ONLY,EMDAT_DATE_WINDOW,TS_OR_LOWER,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Haiti,HTI,EMDAT,EMDAT-2021-0510-HTI,,MISSING,,MISSING,11374586,persons,,,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:207,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL152022,AL152022,LISA,2022,2022-10-30,2022-11-05,2022-10-30,,H1,Mild,H1,Mild,2022-11-02,2022-11-03,,INTERVAL_ONLY,EMDAT_DATE_WINDOW,H1,RESOLVED,MAX_HURDAT_CATEGORY_WITHIN_EMDAT_IMPACT_WINDOW,Mild,Belize,BLZ,EMDAT,EMDAT-2022-0719-BLZ,172000,OBSERVED,172150,OBSERVED,402733,persons,42.708196,42.745442,NOT_GENERATED_R6I_SCOPE,,,,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:436,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
